"Name","State","Notes","User","Tags","Created","Runtime","Sweep","K","alpha","beta","beta_style","custom_architectures","decoder_dist_params.m0.scale","decoder_dist_params.m1.scale","decoder_dist_params.m2.scale","decoder_dist_params.m3.scale","decoder_dist_params.m4.scale","decoders_dist.m0","decoders_dist.m1","decoders_dist.m2","decoders_dist.m3","decoders_dist.m4","embedding_dcca_dim","input_dims.m0","input_dims.m1","input_dims.m2","input_dims.m3","input_dims.m4","keep_incomplete","latent_dim","learn_prior","missing_ratio","model_name","n_modalities","name","nb_epochs_dcca","prior_and_posterior_dist","seed","subsets.","subsets.m0","subsets.m0_m1","subsets.m0_m1_m2","subsets.m0_m1_m2_m3","subsets.m0_m1_m2_m3_m4","subsets.m0_m1_m2_m4","subsets.m0_m1_m3","subsets.m0_m1_m3_m4","subsets.m0_m1_m4","subsets.m0_m2","subsets.m0_m2_m3","subsets.m0_m2_m3_m4","subsets.m0_m2_m4","subsets.m0_m3","subsets.m0_m3_m4","subsets.m0_m4","subsets.m1","subsets.m1_m2","subsets.m1_m2_m3","subsets.m1_m2_m3_m4","subsets.m1_m2_m4","subsets.m1_m3","subsets.m1_m3_m4","subsets.m1_m4","subsets.m2","subsets.m2_m3","subsets.m2_m3_m4","subsets.m2_m4","subsets.m3","subsets.m3_m4","subsets.m4","use_all_singular_values","use_modality_specific_spaces","use_subsampling","uses_likelihood_rescaling","warmup","cluster_accuracy"
"icy-brook-412","finished","-","asenellart","","2023-06-07T16:41:01.000Z","192","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","true","512","","0.5","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.98265"
"confused-pyramid-409","finished","-","asenellart","","2023-06-07T16:41:00.000Z","194","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","false","512","","0.2","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.9963"
"frosty-sea-409","finished","-","asenellart","","2023-06-07T16:41:00.000Z","210","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","false","512","","0.5","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.83557"
"icy-moon-411","finished","-","asenellart","","2023-06-07T16:41:00.000Z","192","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","true","512","","0.2","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.9981000000000002"
"firm-blaze-408","finished","-","asenellart","","2023-06-07T16:37:35.000Z","311","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","true","512","","0.5","MoPoE","5","MoPoEConfig","","","1","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.97511"
"valiant-capybara-406","finished","-","asenellart","","2023-06-07T16:37:35.000Z","178","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","false","512","","0","MoPoE","5","MoPoEConfig","","","0","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.98924"
"earthy-deluge-407","finished","-","asenellart","","2023-06-07T16:37:35.000Z","342","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","true","512","","0.5","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.85215"
"sleek-wind-405","finished","-","asenellart","","2023-06-07T16:37:35.000Z","222","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","true","512","","0.2","MoPoE","5","MoPoEConfig","","","1","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.96962"
"golden-darkness-404","finished","-","asenellart","","2023-06-07T16:37:34.000Z","312","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","false","512","","0.2","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.98723"
"vibrant-serenity-401","finished","-","asenellart","","2023-06-07T16:37:33.000Z","189","","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","false","512","","0.2","MoPoE","5","MoPoEConfig","","","0","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","0.96701"
