"Name","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","beta","beta_style","custom_architectures","decoder_dist_params.m0.scale","decoder_dist_params.m1.scale","decoder_dist_params.m2.scale","decoder_dist_params.m3.scale","decoder_dist_params.m4.scale","decoders_dist.m0","decoders_dist.m1","decoders_dist.m2","decoders_dist.m3","decoders_dist.m4","embedding_dcca_dim","input_dims.m0","input_dims.m1","input_dims.m2","input_dims.m3","input_dims.m4","k","keep_incomplete","latent_dim","learn_prior","missing_ratio","model_name","n_modalities","name","nb_epochs_dcca","prior_and_posterior_dist","seed","subsets.","subsets.m0","subsets.m0_m1","subsets.m0_m1_m2","subsets.m0_m1_m2_m3","subsets.m0_m1_m2_m3_m4","subsets.m0_m1_m2_m4","subsets.m0_m1_m3","subsets.m0_m1_m3_m4","subsets.m0_m1_m4","subsets.m0_m2","subsets.m0_m2_m3","subsets.m0_m2_m3_m4","subsets.m0_m2_m4","subsets.m0_m3","subsets.m0_m3_m4","subsets.m0_m4","subsets.m1","subsets.m1_m2","subsets.m1_m2_m3","subsets.m1_m2_m3_m4","subsets.m1_m2_m4","subsets.m1_m3","subsets.m1_m3_m4","subsets.m1_m4","subsets.m2","subsets.m2_m3","subsets.m2_m3_m4","subsets.m2_m4","subsets.m3","subsets.m3_m4","subsets.m4","use_all_singular_values","use_modality_specific_spaces","use_subsampling","uses_likelihood_rescaling","warmup","joint_coherence _prior","joint_coherence_GaussianMixtureSampler","joint_coherence_IAFsampler","joint_coherence_prior","joint_likelihood","mean_coherence_1","mean_coherence_2","mean_coherence_3","mean_coherence_4","std_coherence_1","std_coherence_2","std_coherence_3","std_coherence_4","subset_to_m0","subset_to_m1","subset_to_m2","subset_to_m3","subset_to_m4","Conditional FD from ['m1', 'm2', 'm3', 'm4'] to m0","Conditional FD from ['m1', 'm2', 'm3'] to m0","Conditional FD from ['m1', 'm2'] to m0","Conditional FD from ['m1'] to m0"
"dashing-snowflake-163","finished","-","asenellart","","2023-06-05T15:17:16.000Z","2382","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","true","512","","0.5","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.14720000326633453","0.11069999635219574","0.09749999642372131","6931.43017578125","0.53041","0.6627000000000001","0.7254700000000001","0.76328","0.03362564720566728","0.034192403314836514","0.07420733184800542","0.1365931096358817","0.665","0.8278","0.8991","0.8793","0.5452","","","",""
"ruby-resonance-162","finished","-","asenellart","","2023-06-05T15:15:37.000Z","2891","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","true","512","","0.2","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.28029999136924744","0.13509999215602875","0.12129999697208405","6873.41748046875","0.63183","0.7645966666666667","0.8152250000000001","0.83666","0.027155903593878043","0.03918227334451695","0.08154176307267337","0.1427251988963407","0.7863","0.911","0.9605","0.9465","0.579","","","",""
"spring-universe-161","finished","-","asenellart","","2023-06-05T15:08:01.000Z","2367","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0.5","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.043699998408555984","0.006000000052154064","0.04399999976158142","7197.2578125","0.271515","0.3402233333333333","0.38024500000000006","0.41132","0.03660922219878482","0.02518262209452295","0.07081376084490923","0.16612452437855166","0.1998","0.4491","0.5948","0.5769","0.236","","","",""
"robust-spaceship-160","finished","-","asenellart","","2023-06-05T15:06:11.000Z","2354","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0.2","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.3863999843597412","0.07899999618530273","0.06929999589920044","6959.33935546875","0.5417150000000001","0.6768833333333334","0.7424799999999999","0.7788","0.03557691878170453","0.0447227539650928","0.0965286439353625","0.17509070792020917","0.7137","0.881","0.9223","0.914","0.463","","","",""
"pleasant-donkey-159","finished","-","asenellart","","2023-06-05T14:49:57.000Z","2593","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0","MoPoE","5","MoPoEConfig","","","3","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.2080999910831451","0.08339999616146088","0.07530000060796738","6891.318359375","0.567475","0.7085700000000001","0.7697849999999999","0.8014399999999998","0.025740449685271623","0.0514280283503072","0.09666085828814064","0.16265972580820368","0.6012","0.9197","0.9334","0.949","0.6039","","","",""
"iconic-armadillo-158","finished","-","asenellart","","2023-06-05T14:49:53.000Z","2491","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","true","512","","0.5","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.08869999647140503","0.03269999846816063","0.04230000078678131","6966.32568359375","0.4236","0.5472733333333333","0.6153799999999999","0.65838","0.0275628236942444","0.02873240833777928","0.07570105745628655","0.15694014655275432","0.4476","0.7636","0.8294","0.7603","0.491","","","",""
"autumn-puddle-157","finished","-","asenellart","","2023-06-05T14:48:24.000Z","2532","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","true","512","","0.2","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.3197999894618988","0.08879999816417694","0.0997999981045723","6868.14501953125","0.6078","0.7395166666666667","0.79479","0.8224599999999999","0.0203536728872211","0.05074256650540606","0.09340361556171152","0.16330960290197266","0.7826","0.9053","0.9497","0.9544","0.5203","","","",""
"winter-shadow-156","finished","-","asenellart","","2023-06-05T14:28:57.000Z","2782","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0.5","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.12559999525547028","0.03109999932348728","0.04829999804496765","7165.36474609375","0.35843","0.46234666666666674","0.5264","0.5695399999999999","0.04560124285586964","0.01504272581681924","0.05574123697945714","0.13894856026602076","0.4768","0.6633","0.6782","0.6898","0.3396","","","",""
"hardy-darkness-155","finished","-","asenellart","","2023-06-05T14:26:27.000Z","2475","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0.2","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.400299996137619","0.10619999468326569","0.08839999884366989","6964.89208984375","0.568055","0.7067433333333333","0.7686000000000002","0.8039799999999999","0.03580794046018283","0.040939891032802926","0.08729394881662765","0.15755563334898567","0.7362","0.9022","0.9251","0.9328","0.5236","","","",""
"smart-water-154","finished","-","asenellart","","2023-06-05T14:24:55.000Z","2356","","","2.5","1","[""encoders"",""decoders"",""encoders"",""decoders""]","0.75","0.75","0.75","0.75","0.75","laplace","laplace","laplace","laplace","laplace","","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","[3,28,28]","","false","512","","0","MoPoE","5","MoPoEConfig","","","2","[]","[""m0""]","[""m0"",""m1""]","[""m0"",""m1"",""m2""]","[""m0"",""m1"",""m2"",""m3""]","[""m0"",""m1"",""m2"",""m3"",""m4""]","[""m0"",""m1"",""m2"",""m4""]","[""m0"",""m1"",""m3""]","[""m0"",""m1"",""m3"",""m4""]","[""m0"",""m1"",""m4""]","[""m0"",""m2""]","[""m0"",""m2"",""m3""]","[""m0"",""m2"",""m3"",""m4""]","[""m0"",""m2"",""m4""]","[""m0"",""m3""]","[""m0"",""m3"",""m4""]","[""m0"",""m4""]","[""m1""]","[""m1"",""m2""]","[""m1"",""m2"",""m3""]","[""m1"",""m2"",""m3"",""m4""]","[""m1"",""m2"",""m4""]","[""m1"",""m3""]","[""m1"",""m3"",""m4""]","[""m1"",""m4""]","[""m2""]","[""m2"",""m3""]","[""m2"",""m3"",""m4""]","[""m2"",""m4""]","[""m3""]","[""m3"",""m4""]","[""m4""]","","false","","false","","","0.5748000144958496","0.1331999897956848","0.12379999458789824","6871.08642578125","0.6667799999999999","0.7922166666666668","0.838775","0.8590199999999999","0.028331309535565084","0.059179020775947305","0.1074813780382444","0.18784980596210368","0.8885","0.9588","0.9771","0.9814","0.4893","","","",""
